,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
761,7.6000000000000005,0.0,0.0,0.0,0.0,0.1192555304508121,-0.12752775313687736,0.3840628089615253,0.559251067159206,-1.6522749216479373,-1.7157717696016137,-0.0634968479536764,-0.24678328358768947
762,7.61,0.0,0.0,0.0,0.0,0.12303587862995348,-0.12177852900902668,0.37197456867217976,0.5905695110969552,-1.651063363877936,-1.7170185619625944,-0.06595519808465845,-0.24481440763898016
763,7.62,0.0,0.0,0.0,0.0,0.1266944026083731,-0.11571693744011344,0.35970057288166896,0.6217155908670489,-1.6498146101992757,-1.7182062988086366,-0.06839168860936096,-0.24241134004848655
764,7.63,0.0,0.0,0.0,0.0,0.13022932305641066,-0.10934497100886892,0.3472564750228602,0.6526355262524756,-1.6485298878810415,-1.7193318659801147,-0.0708019780990732,-0.23957429406527958
765,7.640000000000001,0.0,0.0,0.0,0.0,0.13363901738629552,-0.10266515971522099,0.3346579657245002,0.6832756297251739,-1.6472104412022153,-1.720392171931068,-0.0731817307288527,-0.23630417710151652
766,7.65,0.0,0.0,0.0,0.0,0.13692201999584727,-0.09568056956046656,0.32192074728816134,0.7135824048259378,-1.6458575298828264,-1.721384153097134,-0.0755266232143077,-0.23260258955631383
767,7.66,0.0,0.0,0.0,0.0,0.1400770222609966,-0.08839480015058437,0.30906050899416937,0.7435026430858408,-1.6444724275139266,-1.7223047792443869,-0.07783235173046023,-0.22847182241158098
768,7.67,0.0,0.0,0.0,0.0,0.14310287228597357,-0.08081198133933205,0.2960929033471781,0.7729835190835034,-1.643056419988861,-1.7231510587893903,-0.08009463880052925,-0.2239148536253056
769,7.68,0.0,0.0,0.0,0.0,0.1459985744210661,-0.07293676893168491,0.28303352335969145,0.8019726832577471,-1.6416108039382062,-1.7239200440809674,-0.0823092401427612,-0.218935343352751
770,7.69,0.0,0.0,0.0,0.0,0.14876328855876264,-0.06477433947184716,0.26989788095824063,0.8304183521246703,-1.6401368851706493,-1.7246088366344035,-0.08447195146375419,-0.2135376280306098
771,7.7,0.0,0.0,0.0,0.0,0.1513963292198659,-0.05633038414341048,0.25670138658203967,0.8582693955819393,-1.6386359771219656,-1.7252145923090665,-0.08657861518710086,-0.2077267133632764
772,7.71,0.0,0.0,0.0,0.0,0.15389716444179002,-0.0476111018122095,0.2434593300281772,0.8854754210202793,-1.6371093993141341,-1.7257345264207173,-0.08862512710658321,-0.20150826625399954
773,7.72,0.0,0.0,0.0,0.0,0.1562654144817034,-0.038623191245050495,0.2301868625809031,0.9119868540022311,-1.6355584758265072,-1.7261659187800966,-0.09060744295358948,-0.19488860572675387
774,7.73,0.0,0.0,0.0,0.0,0.15850085034747885,-0.029373842539652254,0.21689898044550565,0.9377550153109244,-1.6339845337808192,-1.7265061186497273,-0.09252158486890805,-0.1878746928871311
775,7.74,0.0,0.0,0.0,0.0,0.16060339216952538,-0.019870727802910777,0.20361050949009415,0.9627321942156226,-1.6323889018416948,-1.7267525496112244,-0.09436364776952956,-0.18047411997243615
776,7.75,0.0,0.0,0.0,0.0,0.16257310742652778,-0.010121991115884684,0.19033609128125703,0.9868717178463121,-1.6307729087341771,-1.7269027143357911,-0.096129805601614,-0.17269509854241247
777,7.76,0.0,0.0,0.0,0.0,0.16441020903788842,-0.0001362378247759696,0.1770901703826274,1.0101280166150794,-1.6291378817796773,-1.7269541992509592,-0.09781631747128185,-0.1645464468626644
778,7.7700000000000005,0.0,0.0,0.0,0.0,0.16611505333527865,0.010077476802453801,0.1638869828687885,1.0324566856676602,-1.6274851454516142,-1.7269046790970364,-0.09941953364542223,-0.15603757653282485
